Keyword,Landing Page Title,Description,Landing Page URL,Checkout URL
Cirrhosis Biomarker Test,Cirrhosis Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Albumin, liver enzymes, platelets, and more.",https://superpower.com/welcome-cms/cirrhosis-biomarker-test,https://superpower.com/checkout?sp_variant=cirrhosis-biomarker-test
Coronary Artery Disease Biomarker Test,Coronary Artery Disease Biomarker Test | Superpower,"100+ biomarkers in one blood draw. ApoB, Lp(a), hs-CRP, lipids, and more.",https://superpower.com/welcome-cms/coronary-artery-disease-biomarker-test,https://superpower.com/checkout?sp_variant=coronary-artery-disease-biomarker-test
Cortisol High Symptoms,Cortisol High Symptoms | Superpower,"100+ biomarkers in one blood draw. Cortisol, DHEA, thyroid, metabolic, and more.",https://superpower.com/welcome-cms/cortisol-high-symptoms,https://superpower.com/checkout?sp_variant=cortisol-high-symptoms
Cortisol Test,Cortisol Test | Superpower Health,Test your cortisol levels with Superpower. Get results in 10 days. 100+ biomarkers. Only $199/year.,https://superpower.com/welcome-cms/cortisol-test,https://superpower.com/checkout?sp_variant=cortisol-test
Cortisol Test at Home,At-Home Cortisol Test | Accurate Stress Hormone | Superpower,Test cortisol at home for accurate results. Lab visits spike cortisol 30-40%. Licensed phlebotomist. 100+ biomarkers. ~10 day results. $199/year.,https://superpower.com/welcome-cms/cortisol-test-at-home,https://superpower.com/checkout?sp_variant=cortisol-test-at-home
CRP Test,CRP Test | hsCRP Inflammation Test | Superpower,Test CRP (C-reactive protein). Measure inflammation and assess cardiovascular risk. Results in 10 days.,https://superpower.com/welcome-cms/crp-test,https://superpower.com/checkout?sp_variant=crp-test
Cushings Syndrome Biomarker Test,Cushings Syndrome Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Cortisol, DHEA, metabolic, glucose, and more.",https://superpower.com/welcome-cms/cushings-syndrome-biomarker-test,https://superpower.com/checkout?sp_variant=cushings-syndrome-biomarker-test
Depression Biomarker Test,Depression Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Thyroid, B12, vitamin D, hormones, and more.",https://superpower.com/welcome-cms/depression-biomarker-test,https://superpower.com/checkout?sp_variant=depression-biomarker-test
DHEA Test,DHEA Test | DHEA-S Levels | Superpower,Test DHEA levels. DHEA-S blood test to assess adrenal function and hormone balance. Results in 10 days. Only $199/year.,https://superpower.com/welcome-cms/dhea-test,https://superpower.com/checkout?sp_variant=dhea-test
Diabetes Mellitus Type 2 Biomarker Test,Diabetes Mellitus Type 2 Biomarker Test | Superpower,"100+ biomarkers in one blood draw. A1C, glucose, insulin, kidney, and more.",https://superpower.com/welcome-cms/diabetes-mellitus-type-2-biomarker-test,https://superpower.com/checkout?sp_variant=diabetes-mellitus-type-2-biomarker-test
Diabetes Test,Diabetes Test | Blood Sugar Screening | Superpower,"Get tested for diabetes. A1C, fasting glucose, insulin testing. Detect diabetes early. Results in 10 days.",https://superpower.com/welcome-cms/diabetes-test,https://superpower.com/checkout?sp_variant=diabetes-test
Disease Screening,Disease Screening | 100+ Biomarkers | Superpower,"Comprehensive disease screening - screen for 40+ conditions in one blood draw. Catch diabetes, heart disease, thyroid, anemia early. 100+ biomarkers. $199/year.",https://superpower.com/welcome-cms/disease-screening,https://superpower.com/checkout?sp_variant=disease-screening
Dyslipidemia Biomarker Test,Dyslipidemia Biomarker Test | Superpower,"100+ biomarkers in one blood draw. ApoB, Lp(a), lipids, inflammation, and more.",https://superpower.com/welcome-cms/dyslipidemia-biomarker-test,https://superpower.com/checkout?sp_variant=dyslipidemia-biomarker-test
Epigenetic Test,Epigenetic Age Test | Biological Aging Measure | Superpower,Test epigenetic age—the most accurate biological aging measure. Track your longevity progress. Results in 10 days.,https://superpower.com/welcome-cms/epigenetic-test,https://superpower.com/checkout?sp_variant=epigenetic-test
Epigenetics Info,Epigenetics Info | Superpower,"100+ biomarkers in one blood draw. Inflammation, metabolic, hormones, and more.",https://superpower.com/welcome-cms/epigenetics-info,https://superpower.com/checkout?sp_variant=epigenetics-info
Fatty Liver Test,Fatty Liver Test | NAFLD Screening | Superpower,"Screen for fatty liver disease (NAFLD). ALT, AST, GGT + metabolic markers. 1 in 4 adults affected. 100+ biomarkers. ~10 day results. $199/year.",https://superpower.com/welcome-cms/fatty-liver-test,https://superpower.com/checkout?sp_variant=fatty-liver-test
Female Hypogonadism Biomarker Test,Female Hypogonadism Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Estrogen, testosterone, DHEA, thyroid, and more.",https://superpower.com/welcome-cms/female-hypogonadism-biomarker-test,https://superpower.com/checkout?sp_variant=female-hypogonadism-biomarker-test
Female Infertility Biomarker Test,Female Infertility Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Hormones, thyroid, insulin, inflammation, and more.",https://superpower.com/welcome-cms/female-infertility-biomarker-test,https://superpower.com/checkout?sp_variant=female-infertility-biomarker-test
Ferritin Test,Ferritin Test | Iron Stores Test | Superpower,Test ferritin levels. Check iron stores. Low ferritin causes fatigue and hair loss. Results in 10 days.,https://superpower.com/welcome-cms/ferritin-test,https://superpower.com/checkout?sp_variant=ferritin-test
Folate Deficiency Biomarker Test,Folate Deficiency Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Folate, B12, homocysteine, and more.",https://superpower.com/welcome-cms/folate-deficiency-biomarker-test,https://superpower.com/checkout?sp_variant=folate-deficiency-biomarker-test
Folate Test,Folate Test | Vitamin B9 Levels | Superpower,Test folate (vitamin B9). Essential for DNA and cell division. Results in 10 days.,https://superpower.com/welcome-cms/folate-test,https://superpower.com/checkout?sp_variant=folate-test
GFR Test,GFR Test | Kidney Filtration Rate | Superpower,Check your GFR (glomerular filtration rate). Best indicator of kidney health. Results in 10 days. Only $199/year.,https://superpower.com/welcome-cms/gfr-test,https://superpower.com/checkout?sp_variant=gfr-test
Glucose Monitoring,Glucose Monitoring | Blood Sugar Testing | Superpower,Understand your glucose levels. Blood testing and continuous monitoring options. Start with baseline testing. Results in 10 days.,https://superpower.com/welcome-cms/glucose-monitoring,https://superpower.com/checkout?sp_variant=glucose-monitoring
Gout Biomarker Test,Gout Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Uric acid, kidney, inflammation, and more.",https://superpower.com/welcome-cms/gout-biomarker-test,https://superpower.com/checkout?sp_variant=gout-biomarker-test
Graves Disease Biomarker Test,Graves Disease Biomarker Test | Superpower,"100+ biomarkers in one blood draw. TSH, T3, T4, thyroid antibodies, and more.",https://superpower.com/welcome-cms/graves-disease-biomarker-test,https://superpower.com/checkout?sp_variant=graves-disease-biomarker-test
Hashimotos,Hashimoto's Disease Test | Thyroid Antibodies | Superpower,"Test for Hashimoto's thyroiditis. Check thyroid antibodies, TSH, T3, T4. Detect autoimmune thyroid disease early. Results in 10 days.",https://superpower.com/welcome-cms/hashimotos,https://superpower.com/checkout?sp_variant=hashimotos
Hashimotos Biomarker Test,Hashimotos Biomarker Test | Superpower,"100+ biomarkers in one blood draw. TPO antibodies, TSH, T3, T4, and more.",https://superpower.com/welcome-cms/hashimotos-biomarker-test,https://superpower.com/checkout?sp_variant=hashimotos-biomarker-test
Health Screening,Comprehensive Health Screening | 100+ Biomarkers | Superpower,Annual health screening. Test 100+ biomarkers. Catch problems early. Results in 10 days. Only $199/year.,https://superpower.com/welcome-cms/health-screening,https://superpower.com/checkout?sp_variant=health-screening
Health Test at Home,At-Home Health Test | 100+ Biomarkers | Superpower,Comprehensive health testing at home. 100+ biomarkers - 10x more than an annual physical. Licensed phlebotomist. ~10 day results. $199/year.,https://superpower.com/welcome-cms/health-test-at-home,https://superpower.com/checkout?sp_variant=health-test-at-home
Heart Disease Screening,"Heart Disease Screening | ApoB, Lp(a), CRP | Superpower","Advanced heart disease screening - ApoB, Lp(a), hsCRP, lipids. 50% of heart attacks miss standard tests. 100+ biomarkers. ~10 day results. $199/year.",https://superpower.com/welcome-cms/heart-disease-screening,https://superpower.com/checkout?sp_variant=heart-disease-screening
Heart Failure Biomarker Test,Heart Failure Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Cardiac risk factors, lipids, inflammation, and more.",https://superpower.com/welcome-cms/heart-failure-biomarker-test,https://superpower.com/checkout?sp_variant=heart-failure-biomarker-test
Heart Test,Heart Test | Superpower,"100+ biomarkers in one blood draw. ApoB, Lp(a), hs-CRP, advanced lipids, and more.",https://superpower.com/welcome-cms/heart-test,https://superpower.com/checkout?sp_variant=heart-test
Hepatitis Biomarker Test,Hepatitis Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Liver enzymes, metabolic, inflammation, and more.",https://superpower.com/welcome-cms/hepatitis-biomarker-test,https://superpower.com/checkout?sp_variant=hepatitis-biomarker-test
High Cholesterol,High Cholesterol | Superpower,"100+ biomarkers in one blood draw. ApoB, Lp(a), lipids, inflammation, and more.",https://superpower.com/welcome-cms/high-cholesterol,https://superpower.com/checkout?sp_variant=high-cholesterol
High Cholesterol Symptoms,High Cholesterol Symptoms | Superpower,"100+ biomarkers in one blood draw. ApoB, Lp(a), lipids, cardiac markers, and more.",https://superpower.com/welcome-cms/high-cholesterol-symptoms,https://superpower.com/checkout?sp_variant=high-cholesterol-symptoms
Homocysteine,Homocysteine Test | Heart & Brain Health | Superpower,Test homocysteine. High levels linked to heart disease and cognitive decline. Results in 10 days. Only $199/year.,https://superpower.com/welcome-cms/homocysteine,https://superpower.com/checkout?sp_variant=homocysteine
Hormone Imbalance,Hormone Imbalance Test | Find the Cause | Superpower,"Test for hormone imbalance. Find out if thyroid, cortisol, sex hormones are causing your symptoms. Results in 10 days.",https://superpower.com/welcome-cms/hormone-imbalance,https://superpower.com/checkout?sp_variant=hormone-imbalance
Hormone Panel,Complete Hormone Panel | All Hormones Tested | Superpower,"Test all major hormones. Thyroid, testosterone, estrogen, cortisol, DHEA, insulin & more. Results in 10 days. Only $199/year.",https://superpower.com/welcome-cms/hormone-panel,https://superpower.com/checkout?sp_variant=hormone-panel
Hormone Panel Female,Female Hormone Panel | Complete Testing | Superpower,"Complete female hormone panel - estrogen, testosterone, DHEA, cortisol, thyroid, insulin. 100+ biomarkers. ~10 day results. $199/year.",https://superpower.com/welcome-cms/hormone-panel-female,https://superpower.com/checkout?sp_variant=hormone-panel-female
Hyperprolactinemia Biomarker Test,Hyperprolactinemia Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Prolactin, thyroid, hormones, and more.",https://superpower.com/welcome-cms/hyperprolactinemia-biomarker-test,https://superpower.com/checkout?sp_variant=hyperprolactinemia-biomarker-test
Hypertension Biomarker Test,Hypertension Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Kidney, thyroid, metabolic, cortisol, and more.",https://superpower.com/welcome-cms/hypertension-biomarker-test,https://superpower.com/checkout?sp_variant=hypertension-biomarker-test
Hyperthyroidism,Hyperthyroidism Test | Overactive Thyroid | Superpower,"Test for overactive thyroid. Check TSH, T3, T4, and thyroid antibodies. Detect hyperthyroidism early. Results in 10 days.",https://superpower.com/welcome-cms/hyperthyroidism,https://superpower.com/checkout?sp_variant=hyperthyroidism
Hyperthyroidism Biomarker Test,Hyperthyroidism Biomarker Test | Superpower,"100+ biomarkers in one blood draw. TSH, Free T3, T4, thyroid antibodies, and more.",https://superpower.com/welcome-cms/hyperthyroidism-biomarker-test,https://superpower.com/checkout?sp_variant=hyperthyroidism-biomarker-test
Hyperuricemia Biomarker Test,Hyperuricemia Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Uric acid, kidney function, metabolic, and more.",https://superpower.com/welcome-cms/hyperuricemia-biomarker-test,https://superpower.com/checkout?sp_variant=hyperuricemia-biomarker-test
Hypothyroidism,Hypothyroidism Test | Underactive Thyroid | Superpower,"Test for hypothyroidism. Check TSH, T3, T4, and thyroid antibodies. Detect underactive thyroid early. Results in 10 days.",https://superpower.com/welcome-cms/hypothyroidism,https://superpower.com/checkout?sp_variant=hypothyroidism
Hypothyroidism Biomarker Test,Hypothyroidism Biomarker Test | Superpower,"100+ biomarkers in one blood draw. All 7 thyroid markers, not just TSH.",https://superpower.com/welcome-cms/hypothyroidism-biomarker-test,https://superpower.com/checkout?sp_variant=hypothyroidism-biomarker-test
IBD Biomarker Test,IBD Biomarker Test | Superpower,"100+ biomarkers in one blood draw. CRP, CBC, iron, B12, inflammation, and more.",https://superpower.com/welcome-cms/ibd-biomarker-test,https://superpower.com/checkout?sp_variant=ibd-biomarker-test
Inflammation Causes,What Causes Inflammation | hsCRP Testing | Superpower,Measure chronic inflammation with hsCRP blood test. 3 in 5 adults have silent inflammation. 100+ biomarkers identify the cause. ~10 days. $199/year.,https://superpower.com/welcome-cms/inflammation-causes,https://superpower.com/checkout?sp_variant=inflammation-causes
Inflammation Symptoms,Chronic Inflammation Symptoms | Test Your Levels | Superpower,"Test for chronic inflammation. CRP, ESR, and inflammatory markers. Explain unexplained symptoms. Results in 10 days.",https://superpower.com/welcome-cms/inflammation-symptoms,https://superpower.com/checkout?sp_variant=inflammation-symptoms
Inflammation Test,Inflammation Test | hsCRP Blood Test | Superpower,"Test for chronic inflammation - hsCRP, ANA, thyroid antibodies. 3 in 5 adults have hidden inflammation. 100+ biomarkers. ~10 day results. $199/year.",https://superpower.com/welcome-cms/inflammation-test,https://superpower.com/checkout?sp_variant=inflammation-test
Inflammatory Foods,Inflammatory Foods | Superpower,"100+ biomarkers in one blood draw. Inflammation, metabolic, gut health, and more.",https://superpower.com/welcome-cms/inflammatory-foods,https://superpower.com/checkout?sp_variant=inflammatory-foods
Insulin Resistance Biomarker Test,Insulin Resistance Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Fasting insulin, glucose, A1C, and more.",https://superpower.com/welcome-cms/insulin-resistance-biomarker-test,https://superpower.com/checkout?sp_variant=insulin-resistance-biomarker-test
Insulin Resistance Test,Insulin Resistance Test | Fasting Insulin | Superpower,"Test for insulin resistance with fasting insulin, glucose, and HbA1c. Catch it 10 years before diabetes. 100+ biomarkers. Results in ~10 days. $199/year.",https://superpower.com/welcome-cms/insulin-resistance-test,https://superpower.com/checkout?sp_variant=insulin-resistance-test
Iron Deficiency Anemia Biomarker Test,Iron Deficiency Anemia Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Ferritin, iron panel, CBC, B12, and more.",https://superpower.com/welcome-cms/iron-deficiency-anemia-biomarker-test,https://superpower.com/checkout?sp_variant=iron-deficiency-anemia-biomarker-test
Iron Test,Iron Test | Complete Iron Studies | Superpower,Test iron levels. Complete iron panel including ferritin - catches deficiency that basic tests miss. Results in 10 days. $199/year.,https://superpower.com/welcome-cms/iron-test,https://superpower.com/checkout?sp_variant=iron-test
Kidney Disease Test,"Kidney Disease Test | eGFR, Creatinine | Superpower","Screen for chronic kidney disease. eGFR, creatinine, BUN + metabolic panel. 90% of CKD is undiagnosed. 100+ biomarkers. ~10 day results. $199/year.",https://superpower.com/welcome-cms/kidney-disease-test,https://superpower.com/checkout?sp_variant=kidney-disease-test
Kidney Panel,"Kidney Function Test | GFR, Creatinine | Superpower","Test kidney function. Check GFR, creatinine, BUN. Detect kidney disease early. Results in 10 days. Only $199/year.",https://superpower.com/welcome-cms/kidney-panel,https://superpower.com/checkout?sp_variant=kidney-panel
LDL HDL,LDL HDL | Superpower,"100+ biomarkers in one blood draw. LDL, HDL, ApoB, cardiac markers, and more.",https://superpower.com/welcome-cms/ldl-hdl,https://superpower.com/checkout?sp_variant=ldl-hdl
LDL Levels,LDL Cholesterol Test | Know Your Levels | Superpower,Test LDL cholesterol. Know your 'bad' cholesterol number. Results in 10 days. Only $199/year.,https://superpower.com/welcome-cms/ldl-levels,https://superpower.com/checkout?sp_variant=ldl-levels
Lipid Panel,Lipid Panel | Full Cholesterol Test | Superpower,"Get a complete lipid panel. Test LDL, HDL, triglycerides, and more. Results in 10 days. Only $199/year.",https://superpower.com/welcome-cms/lipid-panel,https://superpower.com/checkout?sp_variant=lipid-panel
Liver Enzymes,"Liver Enzymes Test | ALT, AST | Superpower","Check liver enzymes. Monitor ALT, AST, ALP, GGT. Detect liver stress early. Results in 10 days. Only $199/year.",https://superpower.com/welcome-cms/liver-enzymes,https://superpower.com/checkout?sp_variant=liver-enzymes
Liver Panel,Liver Function Test | Liver Panel | Superpower,"Test liver function. Check ALT, AST, bilirubin, and liver enzymes. Detect liver disease early. Results in 10 days.",https://superpower.com/welcome-cms/liver-panel,https://superpower.com/checkout?sp_variant=liver-panel
Longevity,Longevity Panel | Healthy Aging Biomarkers | Superpower,Comprehensive longevity testing. 100+ biomarkers for healthy aging. Results in 10 days. Only $199/year.,https://superpower.com/welcome-cms/longevity,https://superpower.com/checkout?sp_variant=longevity
Longevity Peter Attia,Peter Attia Blood Tests | Outlive Panel | Superpower,"Get every blood test from Outlive - ApoB, Lp(a), fasting insulin, liver enzymes, hsCRP. 100+ biomarkers. One draw. $199/year.",https://superpower.com/welcome-cms/longevity-peter-attia,https://superpower.com/checkout?sp_variant=longevity-peter-attia
LPA Test,Lp(a) Test | Lipoprotein(a) | Superpower,Test Lp(a). Genetic heart disease risk factor. Critical marker most doctors don't test. Results in 10 days.,https://superpower.com/welcome-cms/lpa-test,https://superpower.com/checkout?sp_variant=lpa-test
Lupus Test,Lupus Test | ANA Blood Screening | Superpower,Screen for lupus with ANA blood test. Average diagnosis takes 6 years. Get screened in 10 days. 100+ biomarkers. $199/year.,https://superpower.com/welcome-cms/lupus-test,https://superpower.com/checkout?sp_variant=lupus-test
Lyme Test,Lyme Disease Test | Tick-Borne Illness | Superpower,Test for Lyme disease. Screen for tick-borne illness. Results in 10 days.,https://superpower.com/welcome-cms/lyme-test,https://superpower.com/checkout?sp_variant=lyme-test
Magnesium Test,Magnesium Test | Check Levels | Superpower,"Test magnesium levels. Low magnesium causes cramps, poor sleep, anxiety. Results in 10 days.",https://superpower.com/welcome-cms/magnesium-test,https://superpower.com/checkout?sp_variant=magnesium-test
Male Hypogonadism Biomarker Test,Male Hypogonadism Biomarker Test | Superpower,"100+ biomarkers in one blood draw. Free T, Total T, SHBG, estradiol, and more.",https://superpower.com/welcome-cms/male-hypogonadism-biomarker-test,https://superpower.com/checkout?sp_variant=male-hypogonadism-biomarker-test
